"Island","Game","Blueprint Key","Game Type","Topics Covered","Core Mechanic","Scoring and Win/Lose","Answer Key Source"
"Arithmetic Acropolis","Place Value Panic","place_value_panic","place_value_peaks","Place value, digit value, number composition","Sort digits into correct place value channels under time pressure","Score increases for correct sorting; round targets per level; lives or misses reduce progress","Game logic: src/games/PlaceValuePanicGame.tsx; level pacing: src/systems/content/island1NumberBaseCamp.ts"
"Arithmetic Acropolis","Number Line Ninja","number_line_ninja","coordinate_quest","Number ordering, comparison, number line","Select the correct position or value on a number line","Correct answer advances; incorrect reduces lives; stars from performance","Game logic: src/games/NumberLineNinjaGame.tsx"
"Arithmetic Acropolis","Prime Pop","prime_pop","prime_pop","Prime numbers, factors, multiples","Tap prime numbers before they escape","Correct taps score; wrong taps lose lives; round timer present","Game logic: src/games/PrimePopGame.tsx"
"Arithmetic Acropolis","Rounding Rocket","rounding_rampage","place_value_peaks","Rounding and estimation","Choose correct rounded value to power the rocket","Correct answers score; wrong answers lose lives","Game logic: src/games/RoundingRocketGame.tsx"
"Arithmetic Acropolis","Maths vs Zombies","maths_vs_zombies","ratio_rapids","Ratios and proportional reasoning","Deploy defenders in required ratios","Correct ratio clears waves; wrong loses lives","Game logic: src/games/MathsVsZombiesGame.tsx"
"Fraction Forest","Take-Out Rush","take_out_rush","take_out_rush","Fractions, equivalence, composition","Build the order to match the target total using fraction pieces","Correct order increases score; mistakes reduce lives; timer may run","Game logic: src/games/TakeOutRushGame.tsx"
"Fraction Forest","Fraction Forge","fraction_forge","take_out_rush","Fractions and equivalence","Craft exact fractional totals using pieces","Correct mix advances; wrong reduces lives","Game logic: src/games/FractionForgeGame.tsx"
"Fraction Forest","Match-3 Equivalence","match3_equivalence","fraction_match","Fraction, decimal, percent equivalence","Swap tiles to make equivalence matches","Matches score points; timer-based; streaks boost score","Game logic: src/games/FractionMatchGame.tsx"
"Fraction Forest","Percent Power","percent_power","percent_power","Percent of amount, reverse percent","Choose correct percent answer from options","Correct answers score; wrong answers lose lives; timer uses HUD","Game logic: src/games/PercentPowerGame.tsx"
"Fraction Forest","Simplify Sprint","simplify_sprint","fraction_match","Simplifying fractions","Select simplified fraction quickly","Correct increases score; wrong loses lives; timed rounds","Game logic: src/games/SimplifySprintGame.tsx"
